NAGDA DISTRIBUTORS,,,,,,,,,,
"206 2ND FLOOR SHRINATH PLAZA OPP.M.B.HOSPITAL,UDAIPUR-313001",,,,,,,,,,
"Phone : 0294-2420602,7014716008,9413318602 E-Mail : nagdadistributores@rediffmail.com",,,,,,,,,,
D.L.No. : 5472-5473,,,,,,,,,,
DIOS LIFE SCINCES PVT.LTD. STOCK & SALES STATEMENT 01-06-2026 - 30-06-2026,,,,,,,,,,
 ,,,,,,,,,,
PRODUCT DESCRIPTION,"OPENING
STOCK","PURCHASE
QUANTITY","SALE RETURN
QUANTITY","REPLACE+
OTHERS","TOTAL
RECEIVE","SALE
QUANTITY","P/R
QUANTITY","REPLACE+
OTHERS","CLOSING
STOCK","ORDER
QUANTITY"
VINTEL-H80 TAB.               10 S,0,0,0,0,0,0,0,0,0,0
VINTEL-M25 TAB.               10 S,0,0,0,0,0,0,0,0,0,0
VINTEL-M50 TAB.               10 S,12,0,0,0,12,3,0,0,9,0
VINVES-100 TAB.               14 S,0,0,0,0,0,0,0,0,0,0
VINVSE-50 TAB.                14 S,0,0,0,0,0,0,0,0,0,0
XILDA P TAB.                  10 S,0,0,0,0,0,0,0,0,0,0
XILDA-50 TAB. 15 S,0,0,0,0,0,0,0,0,0,0
XILDA-M 500 TAB. 15 S,10,50,0,0,60,27,0,0,33,7.5
XILDA-M1000 TAB. 15 S,0,0,0,0,0,0,0,0,0,0
TOTAL QUANTITY,746,815,72,0,1633,665,0,0,968,459.5
TOTAL VALUE,79722,67311,7759,0,154789,63222,0,0,95422,42768.435
 ,,,,,,,,,,
"Print HEALTH QRCODE on BILL & Earn | MARG ERP NANO Rs.5550 | Click Photo & Import Bill | Call 9829043520,7412952521",,,,,,,,,,
,,,,,,,,,,
